module,theory_id,classification_basis,notes
ForTauCeti.Analysis.InnerProductSpace.Projection.Gap,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.RealContinuousFunctionalCalculus,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.RectangularUnitarilyInvariantSeminorm.Basic,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.RectangularUnitarilyInvariantSeminorm.Instances,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.ReducingSubspace,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Residual.AngleEmbedding,residual_ritz_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Residual.Ritz,residual_ritz_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.SelfAdjointFunctionalCalculus,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.SinTheta.Frobenius,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Spectral.EigenFrame,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Spectral.Gap,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Spectral.ResidualGap,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Spectral.Subspace,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.TwoLevelOperator,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.UnitarilyInvariantSeminorm,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.VectorAngle,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Basic,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Core,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.DiagonalSequence,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.FiniteRestriction,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.KyFan,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.SameSequence,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.OperatorIdeal.Family.Basic,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.MeasureTheory.LpSliceSum,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.MeasureTheory.MeasureClass,operator_ideals_uinorms,human-reviewed exact module assignment,
YuWangSamworth2015.Appendix.Lemma5,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Core.ConsecutiveBlock,spectral_gap_variational,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Core.Procrustes,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Core.Residual,residual_ritz_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Core.SingularSubspace,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Core.Statistics,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Core.TopEigenblock,spectral_gap_variational,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
